id,lat,lon,generation,fuel
892,41.3028,-89.315,1686603,naturalgas
898,38.8639,-90.1347,3138836,naturalgas
899,41.509959,-90.534021,1936,water
902,38.8348,-122.7677,69072,geothermal
903,42.4511,-89.0756,6210,water
905,34.8158,-118.6867,19265,water
913,38.6642,-90.1764,33921,naturalgas
917,46.982514,-119.257764,32798,water
925,39.205623,-111.334381,2750,water
934,38.607456,-89.524514,208,petroleum
935,40.5483,-90.5408,501,petroleum
936,38.6106,-89.3583,13,petroleum
937,38.0967,-88.1631,214,petroleum
940,38.379718,-88.36686,63,petroleum
941,40.24611,-88.638761,49,petroleum
943,38.425556,-89.914444,41,petroleum
944,41.451494,-90.148547,7604,wind
946,38.7333,-89.6875,269,petroleum
948,38.0925,-88.5453,17,petroleum
949,39.392138,-87.68513,237,petroleum
955,41.3237,-89.1123,35730,water
956,30.388517,-84.646624,19879,water
957,41.3767,-89.3817,440,naturalgas
958,40.312222,-88.159444,285,petroleum
959,38.2064,-89.9931,183,petroleum
960,41.9093,-89.0498,1537,naturalgas
961,41.9092,-89.0504,122,naturalgas
963,39.754803,-89.602389,2346721,naturalgas
964,39.757327,-89.600512,21,petroleum
965,39.806868,-89.641653,78,petroleum
969,39.596667,-88.611944,306,petroleum
971,38.334786,-90.158939,766,naturalgas
972,42.115589,-87.731025,2502,naturalgas
976,37.619747,-88.953114,1726722,naturalgas
983,38.7378,-85.4206,6062463,coal
986,41.6928,-85.965,15704,water
987,42.603349,-111.705304,3094,water
988,39.0814,-84.8594,2602640,coal
989,41.665,-86.1322,29852,water
990,39.711319,-86.196867,3847897,naturalgas
991,39.48517,-86.4183,745060,petroleum
992,39.7631,-86.1667,8231,naturalgas
994,38.5281,-87.2525,11266345,petroleum
995,41.645,-87.1225,2162161,naturalgas
997,41.7208,-86.9086,2738999,naturalgas
998,40.7803,-86.76,12928,water
999,40.6564,-86.7528,12655,water
1001,39.9242,-87.4244,4527376,naturalgas
1002,39.6561,-85.1758,90,petroleum
1004,38.8067,-87.2472,2178808,naturalgas
1005,38.7795,-84.964,300014,water
1006,40.7884,-85.8178,15,petroleum
1007,40.0969,-85.9714,316584,naturalgas
1008,38.2636,-85.8381,896798,coal
1010,39.53,-87.4247,1888518,coal
1011,37.969116,-87.604879,7306,naturalgas
1012,37.9111,-87.3275,1532180,naturalgas
1013,38.0211,-87.5172,108,naturalgas
1016,35.0986,-78.8294,14376,naturalgas
1020,39.255911,-111.621491,1711,water
1024,40.048889,-86.8992,21368,coal
1032,40.758858,-86.360289,114789,coal
1037,40.7551,-86.0575,18,petroleum
1038,40.939528,-87.154472,6186,naturalgas
1040,39.8028,-84.8953,45133,petroleum
1043,38.5201,-87.2662,600019,coal
1046,42.5031,-90.658611,10992,naturalgas
1047,43.3359,-91.1675,1328876,petroleum
1048,41.8081,-90.233611,787813,naturalgas
1060,42.1011,-91.7781,4152468,nuclear
1067,42.069987,-90.697657,6310,water
1068,42.0474,-92.859444,9729,petroleum
1073,41.944039,-91.639167,703370,naturalgas
1077,42.047333,-92.859444,30701,naturalgas
1079,41.671877,-91.563999,223,naturalgas
1081,41.54,-90.4481,635836,naturalgas
1082,41.18,-95.8408,10799462,naturalgas
1084,41.590218,-93.619499,551,naturalgas
1091,42.299794,-96.361707,3342137,naturalgas
1097,43.0563,-92.6932,7,naturalgas
1104,40.7412,-91.116667,1123924,naturalgas
1105,40.7478,-92.873056,597,petroleum
1109,40.3965,-91.3719,869780,water
1120,43.0733,-94.2392,238,naturalgas
1121,42.6733,-95.3039,3,petroleum
1122,42.0258,-93.6089,283170,petroleum
1123,41.4444,-94.7689,27,petroleum
1124,41.409,-95,79,naturalgas
1125,43.292628,-94.217075,2,petroleum
1126,42.25,-90.4167,9,petroleum
1127,40.7031,-92.4253,56,naturalgas
1128,41.7278,-92.4479,7,petroleum
1129,42.2275,-91.113739,11,naturalgas
1130,42.512,-92.476,967,naturalgas
1131,42.5267,-92.4394,13714,naturalgas
1132,42.2925,-91.5581,3,petroleum
1134,40.974,-94.7669,31,petroleum
1135,42.2525,-94.0581,18,petroleum
1137,43.4028,-94.8433,157,naturalgas
1138,43.263235,-93.635383,223,petroleum
1141,42.274514,-94.270195,10,petroleum
1142,43.2397,-94.7498,27,petroleum
1143,42.0296,-94.3699,10,petroleum
1144,41.303889,-94.460556,16,petroleum
1145,42.363094,-92.772322,96,petroleum
1146,41.644542,-95.315283,4,petroleum
1150,41.359491,-93.563268,703,petroleum
1153,43.4301,-95.3153,37,petroleum
1154,43.4172,-93.5322,52,naturalgas
1155,40.622,-93.9326,250,petroleum
1156,42.3194,-92.1967,122,petroleum
1157,42.8486,-94.8506,73,petroleum
1158,40.88,-94.5589,55,petroleum
1160,41.9067,-95.0347,71,petroleum
1162,42.035556,-90.665,720,naturalgas
1163,43.023733,-91.174927,7,petroleum
1164,43.326083,-95.148339,40,petroleum
1165,41.586026,-92.5228,229,naturalgas
1166,40.9742,-91.5622,608,petroleum
1167,41.3917,-91.0569,958600,naturalgas
1168,43.0689,-92.3201,486,naturalgas
1169,42.0372,-94.0462,57,petroleum
1172,43.279722,-92.810556,5060,wind
1173,41.016346,-92.414873,2515,water
1180,43.053,-92.959722,7,petroleum
1181,43.429444,-96.169166,21,petroleum
1184,43.405,-95.7261,62,naturalgas
1186,43.144585,-95.144257,170,petroleum
1187,42.01667,-93.16333,62,naturalgas
1188,42.186076,-93.600479,51,petroleum
1190,41.503889,-94.3172,3,petroleum
1191,42.8464,-92.0978,26,petroleum
1192,42.1926,-92.4636,65,naturalgas
1193,40.9556,-94.9758,12,petroleum
1194,42.1697,-92.0222,242,naturalgas
1198,42.471022,-93.81499,35,petroleum
1199,42.961151,-94.445574,35,petroleum
1200,41.569128,-91.26405,290,petroleum
1202,41.587748,-91.019456,59,petroleum
1203,41.3215,-94.0219,72,naturalgas
1206,41.1136,-94.3472,6418,naturalgas
1217,43.1606,-95.2569,14317,naturalgas
1224,39.7581,-101.5319,3,petroleum
1225,39.403001,-101.038202,3,naturalgas
1230,37.1611,-100.7619,29818,naturalgas
1233,37.7328,-99.9497,257372,naturalgas
1235,38.41,-98.8689,4739,naturalgas
1239,37.072616,-94.698704,117176,naturalgas
1240,37.7903,-97.521667,342150,naturalgas
1241,38.3481,-94.6456,7939783,coal
1242,37.5967,-97.413611,89345,naturalgas
1248,38.0906,-97.874722,46797,naturalgas
1250,39.0072,-95.269167,3673824,naturalgas
1252,39.0539,-95.568889,1328608,naturalgas
1258,37.1517,-98.0311,786,naturalgas
1259,37.193787,-99.763073,98,petroleum
1262,38.7897,-95.205,38,naturalgas
1263,39.8081,-97.6505,305,naturalgas
1264,39.4578,-98.1122,1148,naturalgas
1265,38.7633,-95.8528,35,naturalgas
1266,38.193179,-95.74951,104,naturalgas
1268,37.6953,-95.4586,2622,naturalgas
1270,39.373966,-97.127211,3,naturalgas
1271,37.037344,-95.612689,14232,naturalgas
1272,39.394414,-101.058372,58,naturalgas
1274,38.355556,-98.5806,22,naturalgas
1276,37.56681,-95.237499,15,petroleum
1279,37.507709,-94.839318,215,naturalgas
1280,39.341622,-101.705188,1557,naturalgas
1285,39.3781,-99.8239,3,naturalgas
1286,38.5275,-98.7758,9,naturalgas
1287,39.4735,-95.73155,338,naturalgas
1291,37.923076,-95.425572,1038,naturalgas
1292,38.0853,-99.8989,3,petroleum
1295,39.1492,-94.6381,1072456,naturalgas
1296,37.38311,-98.070364,3305,naturalgas
